name,ring,quadrant,isNew,description,Discussion notes
Composer,adopt,tools,FALSE,PHP dependency manager,
Varnish,hold,tools,FALSE,Caching,
Editor config,adopt,tools,FALSE,Use them,
CircleCI,hold,tools,FALSE,CI service. Prefer Github Actions.,
Docker,adopt,tools,FALSE,Containerisation,
Ansible,adopt,tools,FALSE,Provisioning tool. Use platforms instead.,
GitHooks,hold,tools,FALSE,For deployment. Better to use an automated build mechanism? But could be easier to use for certain sites.,
Solr,adopt,tools,FALSE,Search index. Better supported by Drupal than ES.,
Elasticsearch,adopt,tools,FALSE,Search index. Better supported by Craft than Solr.,
Git,adopt,tools,FALSE,Versioning,
Prototyping,adopt,tools,FALSE,We should prototype more. Let's think about the right tool for the job when prototyping.,
Flinto,hold,tools,FALSE,Prototyping tool. MacOS only,
Kubernetes,hold,tools,FALSE,Container management,
GitHub Actions,adopt,tools,FALSE,GitHub feature. Could pricing be a problem?,
Automated testing,adopt,tools,FALSE,Let's do this. But not necessarily with Drupal.,
Black,assess,tools,FALSE,Python formatter,
Terraform,adopt,tools,FALSE,Infratructure as code,
Google Collab notebooks,trial,tools,FALSE,Prototype python code quickly with GPUs and easy to share - could be useful for docs too,
VSCode,adopt,tools,FALSE,IDE. But can also use alternatives.,
PipEnv,trial,tools,FALSE,Python VirtualEnv and dependency manager rolled into one. VirtualEnv++. PyEnv maybe better.,
Figma,trial,tools,FALSE,Design/prototyping. Web-based.,
ddev,adopt,tools,FALSE,Local docker development,
Adobe XD,adopt,tools,FALSE,"Design software, which Grant uses by preference. Mac and Windows only, so problem on Linux. Workaround with Windows VM.",
Zepelin,hold,tools,FALSE,Publish designs online. Now tools have their publishing mechanism,
Storybook,adopt,tools,TRUE,A tool for testing and sharing frontend components in isolation (works well with react),
Fractal,trial,tools,TRUE,A tool for testing and sharing frontend components in isolation (works well with twig). Only if not using Storybook.,
Snowpack (et al),assess,tools,TRUE,ESM based build tools. But not needed for a lot of projects cos we get build setup included already,
Google Calendar,trial,tools,TRUE,A calendar that allows you to send and accept invites. Luke and Ben need to talk.,
esmbuild,assess,tools,TRUE,js build tool,
zoom,adopt,tools,TRUE,Better than Teams,
Slack Huddle,adopt,tools,TRUE,,
Pen testing,adopt,techniques,FALSE,Penetration testing. I.e. an external security audit.,several assess
Security focus,trial,techniques,FALSE,Let's focus on this,
Out of hours support,hold,techniques,FALSE,What is our process for this,
AWS well architected,hold,techniques,FALSE,Automated service to critique your AWS architecture,
Pair programming,trial,techniques,FALSE,Two peeps coding together. To do with specific problems. Made easier with VSCode Liveshare / PHPStorm sharing thing.,
Spot instances,assess,techniques,FALSE,AWS mechansim for using server cycles. Only for jobs to run when servers are cheap,
Delayed visual design,hold,techniques,FALSE,Applying visual design towards the end of the project. UX etc still needs to be early.,Continue to avoid this!
Dev sec ops,assess,techniques,FALSE,Automating security checks,
GraphQL,adopt,techniques,TRUE,,
CSS Container queries,assess,techniques,FALSE,One to watch and potential game changer. Like media queries but per element,
Python typehinting,assess,techniques,FALSE,Strongly typed Python (in core from 3.5),"complete spread: two holds, two adopts"
Progressive Web Apps,trial,techniques,FALSE,Off-line reading; install on homescreen etc. Only when there is an obvious requirement,complete spread.
JSDoc,adopt,techniques,TRUE,Comment blocks / type hinting in JS,
Acquia,hold,platforms,FALSE,Hosted Drupal. Use platform.sh instead,
Netlify,trial,platforms,FALSE,"Hosting hackday projects, static sites (and lambda functions)",
Platform.sh,adopt,platforms,FALSE,Hosted Drupal and more,lots of trial
Serverless,adopt,platforms,FALSE,The idea of serverless architecture. But needs better documentation.,
Cloudflare,adopt,platforms,FALSE,CDN,
Cloudfront,trial,platforms,FALSE,CDN,
GitHub Pages,trial,platforms,FALSE,"GitHub hosting for e.g. hackday projects (limited use). ""Netlify is better""",several hold
Google Cloud,assess,platforms,FALSE,Google's hosting platform. No good reason to use over AWS. Although Google Cloud Run is a cost-efficient alternative to Fargate (or AWS App Runner),several hold
Nginx,adopt,platforms,FALSE,Webserver,
AWS Aurora,hold,platforms,FALSE,"Amazon Aurora is a MySQL and PostgreSQL-compatible relational database built for the cloud, that combines the performance and availability of traditional enterprise databases with the simplicity and cost-effectiveness of open source databases.",
AWS Step Functions,assess,platforms,FALSE,"AWS Step Functions lets you coordinate multiple AWS services into serverless workflows so you can build and update apps quickly. Using Step Functions, you can design and run workflows that stitch together services such as AWS Lambda and Amazon ECS into feature-rich applications.",
AWS Fargate,trial,platforms,FALSE,"AWS Fargate is a compute engine for Amazon ECS that allows you to run containers without having to manage servers or clusters. With AWS Fargate, you no longer have to provision, configure, and scale clusters of virtual machines to run containers. This removes the need to choose server types, decide when to scale your clusters, or optimize cluster packing. AWS Fargate removes the need for you to interact with or think about servers or clusters. Fargate lets you focus on designing and building your applications instead of managing the infrastructure that runs them.",
AWS Lambda Layers,adopt,platforms,FALSE,"You can configure your Lambda function to pull in additional code and content in the form of layers. A layer is a ZIP archive that contains libraries, a custom runtime, or other dependencies. With layers, you can use libraries in your function without needing to include them in your deployment package. Layers let you keep your deployment package small, which makes development easier. You can avoid errors that can occur when you install and package dependencies with your function code. For Node.js, Python, and Ruby functions, you can develop your function code in the Lambda console as long as you keep your deployment package under 3 MB.",
AWS EFS Infrequent Access,assess,platforms,FALSE,"Amazon EFS Infrequent Access (EFS IA) is a new storage class for Amazon EFS that is cost-optimized for files that are accessed less frequently. Amazon EFS provides a simple, scalable, elastic file system for Linux-based workloads for use with AWS Cloud services and on-premises resources. Customers can now use EFS IA to more cost-effectively store larger amounts of data in their file systems, expanding their ability to use Amazon EFS to an even wider set of applications. EFS IA reduces storage costs for files not accessed every day, with savings up to 85% compared to the EFS Standard storage class. ",
Amazon Load Balancer -> Lambda,assess,platforms,FALSE,Application Load Balancer can now Invoke Lambda Functions to Serve HTTP(S) Requests,
AWS Textract,assess,platforms,FALSE,Amazon Textract is a service that automatically extracts text and data from scanned documents. Amazon Textract goes beyond simple optical character recognition (OCR) to also identify the contents of fields in forms and information stored in tables.,
AWS Sagemaker Ground Truth,assess,platforms,FALSE,"Amazon SageMaker Ground Truth helps you build highly accurate training datasets for machine learning quickly. SageMaker Ground Truth offers easy access to public and private human labelers and provides them with built-in workflows and interfaces for common labeling tasks. Additionally, SageMaker Ground Truth can lower your labeling costs by up to 70% using automatic labeling, which works by training Ground Truth from data labeled by humans so that the service learns to label data independently.",
WebSolr,assess,platforms,FALSE,Hosted Solr. https://www.websolr.com/,
Heroku,assess,platforms,FALSE,Another hosting provider. Possibly good for hackdays or samll apps. Good for scaling with Dynamos.,
Logentries,adopt,platforms,FALSE,Logs as a service,
MacOS,adopt,platforms,FALSE,The traditional OS for local dev at Cogapp,split
Ubuntu,adopt,platforms,FALSE,linux flavour for local dev,
Pop OS,trial,platforms,FALSE,linux flavour for local dev,controversial
Azure,assess,platforms,FALSE,,
AWS Braket,assess,platforms,FALSE,Quantum Computing as a service,hack day?
Vercel,adopt,platforms,FALSE,,
ECS,adopt,platforms,FALSE,Elastic Container Service,
ECR,adopt,platforms,FALSE,Elastic Container Registry,
Chromatic,adopt,platforms,TRUE,A platform for hosting Storybooks and visual regression testing components,
cantaloupe,adopt,platforms,TRUE,IIIF server. But non-current version. Better than IIPImage in ceetain circumstances,
Serverless IIIF,assess,platforms,TRUE,But n.b. AWS App Runner or Google Cloud,
AWS Opensearch,adopt,platforms,TRUE,Pros and cons vs Elastic.co,split between hold and adopt
PostCSS,adopt,languages & frameworks,FALSE,In combination with SASS,
Sass,adopt,languages & frameworks,FALSE,The old SASS (CSS preprocessor),
Laravel,adopt,languages & frameworks,FALSE,PHP MVC framework. Use plain Symfony instead?,
Livecode,adopt,languages & frameworks,FALSE,Cross-platform rapid development tool.,some hold
Python,adopt,languages & frameworks,FALSE,Use Node and Javascript instead? But probably not for ML or image processing,many hold
PHP,adopt,languages & frameworks,FALSE,,
11ty,adopt,languages & frameworks,FALSE,Framework for static sites. ,
Vue,hold,languages & frameworks,FALSE,Modern JS framework,
React,adopt,languages & frameworks,FALSE,Modern JS framework,
Svelte,assess,languages & frameworks,FALSE,Modern JS framework,
Next.js,adopt,languages & frameworks,FALSE,JS framework built on React,
Drupal 9,hold,languages & frameworks,FALSE,"CMS. But we may be forced to, and there may not be a better alternative",complete split
Node,adopt,languages & frameworks,FALSE,Server-side JS,lots of trial
Server-side rendering of JS,adopt,languages & frameworks,FALSE,Includes Next.js,
Web components,assess,languages & frameworks,FALSE,,
Jest,adopt,languages & frameworks,FALSE,JS testing framework,
Headless CMS,trial,languages & frameworks,FALSE,Do not blindly adopt this as a pattern. Arguments for and against headless Drupal.,
Craft,adopt,languages & frameworks,FALSE,CMS. But not open source.,
Wagtail,hold,languages & frameworks,FALSE,CMS built on top of Django. Torchbox are best placed.,
Wordpress,hold,languages & frameworks,FALSE,PHP CMS,
October CMS,assess,languages & frameworks,TRUE,Laravel-based CMS,
TypeScript,trial,languages & frameworks,FALSE,Strong-typing for Javascript,
Go,assess,languages & frameworks,FALSE,Need a really strong reason to use yet another language,
Symfony Framework,assess,languages & frameworks,FALSE,PHP framework,
NestJS,assess,languages & frameworks,FALSE,Node framework - think Laravel but for Node,
Flutter,assess,languages & frameworks,FALSE,Mobile app dev - possibly a tool,
OpenAPI,trial,languages & frameworks,FALSE,Way to define a REST API,
Remix,assess,languages & frameworks,TRUE,JavaScript framework a bit like Next.js,
Rust,hold,languages & frameworks,TRUE,"""A language empowering everyone to build reliable and efficient software""",
Greensock,adopt,languages & frameworks,TRUE,A JavaScript animation library,
MUI,assess,languages & frameworks,TRUE,Material component library for React,
modx3,assess,languages & frameworks,TRUE,PHP based CMS. Probably only for NPG.,
Chakra UI,assess,languages & frameworks,TRUE,Component library for React,
Emotion,assess,languages & frameworks,TRUE,CSS in JS for React,
